date,mdsetotal,numcust
4/22/2017,682,9423.32
4/23/2017,584,8076.21
4/24/2017,268,3688.88
4/25/2017,347,4433.67
4/26/2017,244,3535.38
4/27/2017,279,3913.75
4/28/2017,372,5398.28
4/29/2017,734,10210.25
4/30/2017,679,9258.68
5/1/2017,262,3842.29
5/2/2017,238,3460.96
5/3/2017,302,4529.82
5/4/2017,242,3541
5/5/2017,398,5727.71
5/6/2017,741,10152.22
5/7/2017,660,9011.75
5/8/2017,260,3703.49
5/9/2017,267,3689.56
5/10/2017,336,5003.34
5/11/2017,336,4386.69
5/12/2017,447,6274.03
5/13/2017,767,11875.86
5/14/2017,1014,15850.62
5/15/2017,230,3296.14
5/16/2017,216,3201.52
5/17/2017,313,4217.58
5/18/2017,280,3715.43
5/19/2017,472,6245.88
5/20/2017,714,10253.36
5/21/2017,731,9821.94
5/22/2017,622,10072.08
5/23/2017,288,4023.14
5/24/2017,320,3872.94
5/25/2017,283,3702.62
5/26/2017,414,5833.92
5/27/2017,745,10077.59
5/28/2017,731,10120.46
5/29/2017,302,4179.86
5/30/2017,308,4436.41
5/31/2017,356,4625.68
6/1/2017,310,4082.41
6/2/2017,475,6738.23
6/3/2017,646,8858.6
6/4/2017,574,8001.89
6/5/2017,253,3676.09
6/6/2017,333,4917.52
6/7/2017,259,3751.68
6/8/2017,348,4757.79
6/9/2017,431,6383.62
6/10/2017,708,9800.09
6/11/2017,517,6354.67
6/12/2017,237,3423.56
6/13/2017,343,4420.84
6/14/2017,321,4641.83
6/15/2017,305,4001.3
6/16/2017,417,5926.45
6/17/2017,639,9143.75
6/18/2017,792,12813.81
6/19/2017,223,3366.33
6/20/2017,331,3949.01
6/21/2017,313,4520.67
6/22/2017,369,4433.56
6/23/2017,401,5734.18
6/24/2017,644,9801.9
6/25/2017,576,9100.85
6/26/2017,330,4803.19
6/27/2017,435,5403.21
6/28/2017,317,4586.15
6/29/2017,420,5783.27
6/30/2017,496,7311.59
7/1/2017,787,12036.06
7/2/2017,817,12600.71
7/3/2017,813,10701.29
7/4/2017,419,6205.21
7/5/2017,438,6440.47
7/6/2017,398,5343.07
7/7/2017,413,6395.88
7/8/2017,762,10115.4
7/9/2017,727,10208.59
7/10/2017,373,5057.93
7/11/2017,376,4937.63
7/12/2017,380,5580.86
7/13/2017,389,5457.62
7/14/2017,451,6743.91
7/15/2017,782,11131.73
7/16/2017,635,9038.4
7/17/2017,330,4780.01
7/18/2017,456,5641.73
7/19/2017,313,4521.13
7/20/2017,367,4844.81
7/21/2017,512,7662.27
7/22/2017,790,11306.54
7/23/2017,710,10618.52
7/24/2017,415,5550.98
7/25/2017,438,5553.02
7/26/2017,412,5900.69
7/27/2017,392,5711.66
7/28/2017,572,8201.62
7/29/2017,803,11250.04
7/30/2017,643,9700.92
7/31/2017,334,4778.75
8/1/2017,336,4648.92
8/2/2017,311,4687.59
8/3/2017,379,5488.95
8/4/2017,513,7286.29
8/5/2017,797,12328.79
8/6/2017,813,12414.26
8/7/2017,708,9979.01
8/8/2017,336,5304.41
8/9/2017,374,5096.86
8/10/2017,368,5757.55
8/11/2017,436,6652.15
8/12/2017,811,11513.33
8/13/2017,687,9951.76
8/14/2017,346,4911.65
8/15/2017,399,5017.81
8/16/2017,339,4911.81
8/17/2017,414,5256.7
8/18/2017,518,7665.68
8/19/2017,784,11190
8/20/2017,727,10587.78
8/21/2017,374,5249.38
8/22/2017,337,5046.4
8/23/2017,365,5166.84
8/24/2017,375,5415.93
8/25/2017,574,8191.8
8/26/2017,682,9372.03
8/27/2017,716,10830.14
8/28/2017,316,5006.11
8/29/2017,339,5315.73
8/30/2017,369,5355.87
8/31/2017,380,5766.16
9/1/2017,576,8753.92
9/2/2017,751,11565.12
9/3/2017,852,13291.77
9/4/2017,759,10936.7
9/5/2017,325,4691.71
9/6/2017,252,3878.32
9/7/2017,329,4679.07
9/8/2017,426,6440.14
9/9/2017,703,10452.59
9/10/2017,558,7823.39
9/11/2017,236,3600.13
9/12/2017,285,3978.25
9/13/2017,249,3525.72
9/14/2017,292,4112.55
9/15/2017,380,5755.75
9/16/2017,718,10200.79
9/17/2017,591,8093.02
9/18/2017,222,3643.76
9/19/2017,273,3899.28
9/20/2017,285,4135.05
9/21/2017,309,4325.41
9/22/2017,395,6382.2
9/23/2017,755,10628.15
9/24/2017,703,10201.66
9/25/2017,314,4893.85
9/26/2017,307,4432.33
9/27/2017,271,3941.25
9/28/2017,315,4640.65
9/29/2017,371,6277.09
9/30/2017,735,11038.25
10/1/2017,586,8252.16
10/2/2017,255,4021.56
10/3/2017,255,3662
10/4/2017,192,2737.04
10/5/2017,299,4496.86
